,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Inhambane,MZ,76.26,-23.87,35.38,100,8,10.22
1,Butaritari,KI,81.16,3.07,172.79,100,64,14.47
2,Sao Filipe,CV,74.28,14.9,-24.5,99,0,12.68
3,Trelew,AR,80.62,-43.25,-65.31,27,0,4.97
4,Caravelas,BR,80.35,-17.73,-39.27,100,32,9.78
5,Yellowknife,CA,10.4,62.45,-114.38,92,75,3.36
6,Ushuaia,AR,59,-54.81,-68.31,51,40,49.44
7,Bambous Virieux,MU,73.4,-20.34,57.76,88,20,3.36
8,Kapaa,US,78.94,22.08,-159.32,68,90,13.87
9,Meulaboh,ID,76.26,4.14,96.13,100,68,5.19
10,Qaqortoq,GL,31.21,60.72,-46.03,88,88,2.95
11,Luderitz,NA,58.53,-26.65,15.16,93,88,7.43
12,Busselton,AU,54.66,-33.64,115.35,100,0,4.74
13,Punta Arenas,CL,62.6,-53.16,-70.91,55,40,29.97
14,Jamestown,AU,77.92,-33.21,138.6,29,56,12.46
15,Beringovskiy,RU,-4.03,63.05,179.32,100,8,22.3
16,Los Llanos de Aridane,ES,69.8,28.66,-17.92,64,0,11.41
17,Mtambile,TZ,81.43,-5.38,39.7,100,0,7.76
18,Chokurdakh,RU,-29.5,70.62,147.9,49,20,2.95
19,Lebu,ET,44.62,8.96,38.73,78,8,4.18
20,Mataura,NZ,60.01,-46.19,168.86,66,8,4.97
21,Puerto Ayora,EC,78.8,-0.74,-90.35,61,20,18.34
22,Rikitea,PF,78.51,-23.12,-134.97,100,32,10
23,Saint-Philippe,CA,31.24,45.36,-73.48,83,90,12.75
24,Serebryanyy Bor,RU,-26.08,56.8,124.8,37,36,7.76
25,Georgetown,GY,80.71,6.8,-58.16,72,88,7.99
26,Atuona,PF,81.3,-9.8,-139.03,99,44,19.84
27,Awjilah,LY,49.8,29.14,21.3,94,0,5.41
28,Saryg-Sep,RU,-38.63,51.49,95.55,72,0,2.62
29,Rocha,UY,63.16,-34.48,-54.34,51,0,14.7
30,Isangel,VU,78.33,-19.55,169.27,100,92,23.87
31,Victoria,BN,77.9,5.28,115.24,94,75,2.24
